source,name,name_en,description,description_en
"default",待確認,,,

"infra",政治,,,
"infra",媒體,,,
"infra",法律,,,
"infra",開放資料,,,
"infra",環境,,,
"infra",g0v,,,
"infra",社會議題,,,
"infra",科技與工具,,,
"infra",健康與醫療,,,
"infra",教育,,,
"infra",語言,,,
"infra",生態,,,
"infra",能源,,,
"infra",交通,,,
"infra",藝術,,,
"infra",經濟,,,
"infra",農業,,,
"infra",財政,,,
"infra",社群活動,,,

"awesome-g0v",g0v基礎建設,g0v Infrastructure,"g0v 基礎建設",
"awesome-g0v",開放政府,Open Data,,
"awesome-g0v",法制與政府組織,,立法及法律、政府架構與人事、司法及判決,
"awesome-g0v",課責,,選舉罷免、預決算與財政收支、政風與課責,
"awesome-g0v",政府運作,,區域劃分與統計、法人基本資料、採購資訊與委外營運服務明細、國防與外交,
"awesome-g0v",公共安全,,公共檢查及違法事項、犯罪與事故、環境與災害,
"awesome-g0v",公營服務,,基礎建設、健康與醫療、教育與研究、服務要求與陳情,
"awesome-g0v",經濟活動,,生產及各類執照、不動產與金融、國際貿易,
"awesome-g0v",社會參與,Social Engagement,,
"awesome-g0v",新媒體,Media,,
"awesome-g0v",政策共筆,Policy Feedback,,

"g0v_db","AI",,,
"g0v_db","NPO lab",,,
"g0v_db","g0v Summit",,,
"g0v_db","中國",,,
"g0v_db","事實查核",,,
"g0v_db","人口",,,
"g0v_db","人權",,,
"g0v_db","健保",,,
"g0v_db","健康",,,
"g0v_db","備份",,,
"g0v_db","兒少",,,
"g0v_db","公務員",,,
"g0v_db","公投",,,
"g0v_db","公有地",,,
"g0v_db","公民參與",,,
"g0v_db","公益",,,
"g0v_db","共享",,,
"g0v_db","剩食",,,
"g0v_db","動物",,,
"g0v_db","勞動",,,
"g0v_db","勞工",,,
"g0v_db","區塊鏈",,,
"g0v_db","原住民",,,
"g0v_db","國會",,,
"g0v_db","土地",,,
"g0v_db","地圖",,,
"g0v_db","地政",,,
"g0v_db","地震",,,
"g0v_db","居住",,,
"g0v_db","工具",,,
"g0v_db","工業",,,
"g0v_db","建築",,,
"g0v_db","心理",,,
"g0v_db","性別",,,
"g0v_db","性別平權",,,
"g0v_db","投票",,,
"g0v_db","政府採購",,,
"g0v_db","政策",,,
"g0v_db","文典",,,
"g0v_db","文字",,,
"g0v_db","新住民",,,
"g0v_db","新聞",,,
"g0v_db","歷史",,,
"g0v_db","民主參與",,,
"g0v_db","民意",,,
"g0v_db","氣象",,,
"g0v_db","災害",,,
"g0v_db","生活",,,
"g0v_db","生育",,,
"g0v_db","疫情",,,
"g0v_db","監督",,,
"g0v_db","知識",,,
"g0v_db","矯正",,,
"g0v_db","社會",,,
"g0v_db","社群",,,
"g0v_db","社群媒體",,,
"g0v_db","福利",,,
"g0v_db","空汙",,,
"g0v_db","紀錄",,,
"g0v_db","統計",,,
"g0v_db","翻譯",,,
"g0v_db","街友",,,
"g0v_db","視覺化",,,
"g0v_db","議會",,,
"g0v_db","議題",,,
"g0v_db","貪汙",,,
"g0v_db","資料庫",,,
"g0v_db","資訊戰",,,
"g0v_db","轉型正義",,,
"g0v_db","通訊錄",,,
"g0v_db","遊戲",,,
"g0v_db","選舉",,,
"g0v_db","都市",,,
"g0v_db","都市計劃",,,
"g0v_db","醫療",,,
"g0v_db","開放文化",,,
"g0v_db","黑客松",,,